scenario,from_core,to_core,path_length_km,accumulated_cost_raw,cost_change_from_2024_percent
low_growth,40,42,21.828427124744216,51967.28515625,0.0
continuation,40,42,21.828427124744216,50134.86328125,-3.5261066062821222
high_development,40,42,22.24264068711731,48233.203125,-7.185447575378891
low_growth,40,43,135.02438661763907,289662.8125,0.0
continuation,40,43,138.33809511662318,278256.0625,-3.9379407738092027
high_development,40,43,138.338095116621,264691.46875,-8.620831764519306
low_growth,40,45,143.92388155424788,300501.8125,0.0
continuation,40,45,147.5807358037462,287950.9375,-4.1766387016384465
high_development,40,45,147.58073580374236,273111.15625,-9.114972060276674
low_growth,41,43,119.36753236814141,258710.109375,0.0
continuation,41,43,119.36753236814252,247036.59375,-4.512199253906717
high_development,41,43,119.78174593051452,234653.84375,-9.298541012995543
low_growth,41,45,148.1076477383215,390901.65625,0.0
continuation,41,45,148.1076477383226,377571.71875,-3.4100488669904427
high_development,41,45,156.30865786510586,362092.96875,-7.369804409724856
low_growth,42,50,51.828427124744984,103699.78125,0.0
continuation,42,50,61.112698372205074,104221.5625,0.5031652369083469
high_development,42,50,61.526911934578166,99418.359375,-4.128670112310386
low_growth,43,45,25.5563491861035,65647.234375,0.0
continuation,43,45,32.384776310845695,61178.8828125,-6.806610522196884
high_development,43,45,32.38477631084678,56300.703125,-14.237509529509406
low_growth,43,49,151.2132034355953,306567.78125,0.0
continuation,43,49,151.2132034355917,286991.46875,-6.385639228029609
high_development,43,49,151.21320343559364,267863.71875,-12.624960895169083
low_growth,45,49,112.21320343559763,237444.71875,0.0
continuation,45,49,121.32590180780655,225294.0625,-5.117256898349103
high_development,45,49,121.32590180780736,207321.046875,-12.686604289866944
low_growth,45,50,276.7350647362904,539999.875,0.0
continuation,45,50,283.7645019878145,547047.0,1.3050234502369098
high_development,45,50,284.5929291125606,551023.5,2.041412509586229
low_growth,45,53,267.59797974644584,665692.75,0.0
continuation,45,53,269.6690475583111,646735.3125,-2.847775869573463
high_development,45,53,289.96551211458535,619481.0,-6.941903753646108
low_growth,49,53,124.72792206136367,350951.3125,0.0
continuation,49,53,124.7279220613634,345314.1875,-1.6062413215793288
high_development,49,53,124.31370849898502,339286.09375,-3.3238852041620444
low_growth,50,53,260.49242404918544,637808.6875,0.0
continuation,50,53,260.4924240491822,624846.875,-2.0322414470091394
high_development,50,53,260.49242404918215,611987.4375,-4.048431842659716
