from_core,to_core,veg_low_change_percent_2012_2024,veg_balanced_change_percent_2012_2024,veg_high_change_percent_2012_2024,minimum_change_percent,maximum_change_percent,median_change_percent,direction_veg_low,direction_veg_balanced,direction_veg_high,direction_consistent_across_scenarios,interpretation
38,42,1.4034463654343294,1.5481542372312171,1.5616086968382272,1.4034463654343294,1.5616086968382272,1.5481542372312171,increase,increase,increase,yes,directionally stable across vegetation assumptions
40,42,-2.967659656712453,-5.545040147684464,-8.46117601877414,-8.46117601877414,-2.967659656712453,-5.545040147684464,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
40,43,-0.5395488496095557,-2.1268476583832383,-4.923752741760707,-4.923752741760707,-0.5395488496095557,-2.1268476583832383,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
40,45,1.2475445147804407,0.47144814258500944,-2.140420396384301,-2.140420396384301,1.2475445147804407,0.47144814258500944,increase,increase,decrease,no,sensitive to vegetation assumption; retain as uncertainty
41,43,-4.2945324150890345,-6.271892369049965,-8.84528822004972,-8.84528822004972,-4.2945324150890345,-6.271892369049965,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
41,45,-3.0326220675525692,-5.80901436924505,-9.883359908808051,-9.883359908808051,-3.0326220675525692,-5.80901436924505,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
42,50,6.118920216675662,9.13212253119048,12.770874669173814,6.118920216675662,12.770874669173814,9.13212253119048,increase,increase,increase,yes,directionally stable across vegetation assumptions
43,45,-6.903330821836905,-10.671207142947505,-18.254787892947537,-18.254787892947537,-6.903330821836905,-10.671207142947505,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
43,49,-5.573173735724011,-9.965120115565716,-14.780305811261632,-14.780305811261632,-5.573173735724011,-9.965120115565716,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
45,49,-3.67856113047293,-6.822934007307518,-11.697200659716492,-11.697200659716492,-3.67856113047293,-6.822934007307518,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
45,50,3.568234627011079,5.433049266044254,5.383190801831489,3.568234627011079,5.433049266044254,5.383190801831489,increase,increase,increase,yes,directionally stable across vegetation assumptions
45,53,-2.0416813326651386,-3.6347707903560256,-6.562867960488748,-6.562867960488748,-2.0416813326651386,-3.6347707903560256,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
49,53,-1.2074107884813858,-2.3779720521654895,-3.643592251288314,-3.643592251288314,-1.2074107884813858,-2.3779720521654895,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
50,53,-0.563328569021139,-0.49585634187429484,-0.6664428871354128,-0.6664428871354128,-0.49585634187429484,-0.563328569021139,decrease,decrease,decrease,yes,directionally stable across vegetation assumptions
