year,from_core,to_core,candidate_path,geometry_sha256,old_cost,new_cost,old_route_candidate_cost,optimized_cost_change_pct,old_length_km,new_length_km,fallback_length_m,below95pct_coverage_valid_length_m,source_endpoint_shift_km,destination_endpoint_shift_km,new_within_1000m_of_old_pct,old_within_1000m_of_new_pct,new_within_5000m_of_old_pct,old_within_5000m_of_new_pct
2012,30,36,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_30\attempt_da344fecba.gdb\route_36_2792bc7064,0eb29a59d6ab7776863b7988440a0055fbaa04d267c214915a3d931549ab44a4,50553.203125,50595.5078125,50748.97569417825,0.08368349557474897,30.99999999999907,31.0,0.0,0.0,4.000000007171184,4.000000007171184,0.0,0.0,100.0,100.0
2012,30,40,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_30\attempt_da344fecba.gdb\route_40_070ccd6c0c,d74b1e76ec5e8af7e2328bce893fee47c21299f1e40699111f44b3aca92526ba,237652.265625,237663.3125,238352.72038831495,0.004648335655854652,136.26702730475833,136.2670273047588,0.0,0.0,2.053227908740045e-08,2.0529231730611176e-08,92.9132862124689,93.21725819855256,100.0,100.0
2012,30,41,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_30\attempt_da344fecba.gdb\route_41_e90840869d,96851e693d50fc6e41697470be641b5403f426c46bbc667fd57a5fbfb8e72b53,314232.15625,314458.0,315642.43409868743,0.07187162278208259,169.90663761154846,169.90663761154806,0.0,0.0,2.0530534005854702e-08,2.0529661472829227e-08,57.734915919767595,57.73491598235615,100.00000000000001,100.00000000000001
2012,31,32,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_31\attempt_75e0c26df1.gdb\route_32_e109a56f75,48c6c5af110ec28ec9b73d6646f3b3aae26c366ecdb387a6faf5efd864394a0a,128552.9921875,128623.4453125,128734.15687442296,0.054804733675317685,64.31370849897642,64.31370849898475,0.0,3000.0,2.0529231730611176e-08,2.0529661472829227e-08,100.0,99.99999998851975,100.0,100.0
2012,33,38,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_33\attempt_6ff2c5d04e.gdb\route_38_cbc3469b0d,1666d7190c57d673eec94adb5787a369ddb141cf8dd1811ea57cf34eba34bd0e,66737.8046875,66791.53125,66859.90953445717,0.08050394038516817,41.00000000000186,41.0,0.0,0.0,0.9999999928213659,0.9999999928213659,100.0,99.99999999999773,100.0,100.0
2012,36,40,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_36\attempt_d6ce475fc3.gdb\route_40_b807811a5f,c0579ac798febe94131ba6d6e50c8684170188dc8bc6f4adf85558420b091ca8,118460.2265625,118677.234375,118954.01504796595,0.18319044188683797,63.84062043356856,63.840620433565945,0.0,0.0,2.052835914223407e-08,2.0529231730611176e-08,100.0,100.0,100.0,100.0
2012,36,41,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_36\attempt_d6ce475fc3.gdb\route_41_8920d16d94,2975f62f24a789f8d7b2311eb45f5478ce1fc23f687e837e1b6681793ab626c7,276710.90625,277576.03125,277726.78317411675,0.3126457904114588,149.195959492894,149.19595949289334,0.0,0.0,2.0530534005854702e-08,2.0529661472829227e-08,99.99999999999999,99.99999999614893,100.0,100.0
2012,36,43,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_36\attempt_d6ce475fc3.gdb\route_43_8c7c0b76ea,7a190d1b85b04f43fe9f07bbf94913d0950d5e9bd6277637afcae1100002c989,264659.71875,264569.28125,265121.9465961106,-0.03417123709914538,111.74011537018268,111.74011537017762,0.0,0.0,2.053140654404533e-08,2.0526184766532554e-08,83.76399064382419,83.76399065428203,100.0,100.00000000000001
2012,38,40,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_38\attempt_44df8ca086.gdb\route_40_3cc94758e3,3d9ec60d9549290bbd5658513cfad46de7ff0e326ee8d8c4bd67f096ad8754fd,49111.98046875,49447.64453125,49594.24476017557,0.6834667616663959,25.556349186109426,25.556349186104047,0.0,0.0,2.053140654404533e-08,2.0527930048796563e-08,100.0,100.00000000993627,100.0,100.0
2012,38,42,C:\cheetah\diagnostics\vcf_v2_balanced_overnight_v1\2012\source_38\attempt_44df8ca086.gdb\route_42_438987279f,6af5a029cc48b2e3fedd5a79bf0c003143117323e63b6e50e89c4a424f614b64,53507.265625,53868.78515625,53868.78413528634,0.6756456848004078,29.698484809835655,29.698484809834998,0.0,0.0,2.0530534005854702e-08,2.0529661472829227e-08,100.0,100.0,100.0,100.0
